\FIFO_E/FIFO_MEM_1_reg[0] :D FIFO_E/n140 [('FIFO_E/U298/Q', 'Output Pin(AO22X6)')]
\allocator_unit/arb_S_X/U15 :A allocator_unit/arb_S_X/n10 [('U323/Q', 'Output Pin(NAND2X6)')]
\allocator_unit/arb_S_X/U15 :Q allocator_unit/arb_S_X/n1 [('allocator_unit/arb_S_X/U23/A', 'Input Pin(AND2X6)'), ('allocator_unit/arb_S_X/U24/A2', 'Input Pin(AO21X6)'), ('allocator_unit/arb_S_X/U25/A2', 'Input Pin(AO22X6)'), ('allocator_unit/arb_S_X/U28/A2', 'Input Pin(AO22X6)')]
\allocator_unit/arb_S_X/U19 :A allocator_unit/arb_S_X/n21 [('U362/Q', 'Output Pin(NAND3X3)')]
\allocator_unit/arb_S_X/U19 :Q allocator_unit/arb_S_X/n5 [('U126/A2', 'Input Pin(AO211X3)'), ('allocator_unit/arb_S_X/U26/A1', 'Input Pin(AO22X6)'), ('allocator_unit/arb_S_X/U37/A2', 'Input Pin(OA21X6)')]
\allocator_unit/arb_S_X/U20 :A allocator_unit/arb_S_X/n26 [('U375/Q', 'Output Pin(NAND3X3)')]
\allocator_unit/arb_S_X/U20 :Q allocator_unit/arb_S_X/n6 [('U12/A2', 'Input Pin(OAI21X6)'), ('allocator_unit/arb_S_X/U40/B1', 'Input Pin(AO21X6)')]
\allocator_unit/arb_S_X/U23 :A allocator_unit/arb_S_X/n1 [('allocator_unit/arb_S_X/U15/Q', 'Output Pin(CLKINVX10)')]
\allocator_unit/arb_S_X/U23 :B allocator_unit/arb_S_X/state[0] [('allocator_unit/arb_S_X/state_reg[0]/Q', 'Output Pin(DFPX4)')]
\allocator_unit/arb_S_X/U23 :Q allocator_unit/arb_S_X/n57 [('allocator_unit/arb_S_X/state_reg[0]/D', 'Input Pin(DFPX4)')]
\allocator_unit/arb_S_X/U24 :A1 allocator_unit/arb_S_X/state[4] [('allocator_unit/arb_S_X/state_reg[4]/Q', 'Output Pin(DFCX4)')]
\allocator_unit/arb_S_X/U24 :A2 allocator_unit/arb_S_X/n1 [('allocator_unit/arb_S_X/U15/Q', 'Output Pin(CLKINVX10)')]
\allocator_unit/arb_S_X/U24 :B1 allocator_unit/X_S_W [('U422/Q', 'Output Pin(AOI21X6)')]
\allocator_unit/arb_S_X/U24 :Q allocator_unit/arb_S_X/n56 [('allocator_unit/arb_S_X/state_reg[4]/D', 'Input Pin(DFCX4)')]
\allocator_unit/arb_S_X/U25 :A1 allocator_unit/arb_S_X/state[3] [('allocator_unit/arb_S_X/state_reg[3]/Q', 'Output Pin(DFCX4)')]
\allocator_unit/arb_S_X/U25 :A2 allocator_unit/arb_S_X/n1 [('allocator_unit/arb_S_X/U15/Q', 'Output Pin(CLKINVX10)')]
\allocator_unit/arb_S_X/U25 :B1 allocator_unit/arb_S_X/n9 [('allocator_unit/arb_S_X/U26/Q', 'Output Pin(AO22X6)')]
\allocator_unit/arb_S_X/U25 :B2 allocator_unit/arb_S_X/n10 [('U323/Q', 'Output Pin(NAND2X6)')]
\allocator_unit/arb_S_X/U25 :Q allocator_unit/arb_S_X/n55 [('allocator_unit/arb_S_X/state_reg[3]/D', 'Input Pin(DFCX4)')]
\allocator_unit/arb_S_X/U26 :A1 allocator_unit/arb_S_X/n5 [('allocator_unit/arb_S_X/U19/Q', 'Output Pin(CLKINVX10)')]
\allocator_unit/arb_S_X/U26 :A2 Req_SE [('LBDR_S/Req_E_FF_reg/Q', 'Output Pin(DFCX4)')]
\allocator_unit/arb_S_X/U26 :B1 allocator_unit/arb_S_X/n11 [('allocator_unit/arb_S_X/U27/Q', 'Output Pin(AO22X6)')]
\allocator_unit/arb_S_X/U26 :B2 n66 [('LBDR_S/Req_N_FF_reg/QN', 'Output Pin(DFCX4)')]
\allocator_unit/arb_S_X/U26 :Q allocator_unit/arb_S_X/n9 [('allocator_unit/arb_S_X/U25/B1', 'Input Pin(AO22X6)')]
\allocator_unit/arb_S_X/U27 :A1 allocator_unit/arb_S_X/n12 [('U383/Q', 'Output Pin(NOR2X6)')]
\allocator_unit/arb_S_X/U27 :A2 n28 [('LBDR_S/Req_L_FF_reg/QN', 'Output Pin(DFCX4)')]
\allocator_unit/arb_S_X/U27 :B1 Req_SE [('LBDR_S/Req_E_FF_reg/Q', 'Output Pin(DFCX4)')]
\allocator_unit/arb_S_X/U27 :B2 allocator_unit/arb_S_X/n13 [('allocator_unit/arb_S_X/U40/Q', 'Output Pin(AO21X6)')]
\allocator_unit/arb_S_X/U27 :Q allocator_unit/arb_S_X/n11 [('allocator_unit/arb_S_X/U26/B1', 'Input Pin(AO22X6)')]
\allocator_unit/arb_S_X/U28 :A1 allocator_unit/arb_S_X/state[2] [('allocator_unit/arb_S_X/state_reg[2]/Q', 'Output Pin(DFCX4)')]
\allocator_unit/arb_S_X/U28 :A2 allocator_unit/arb_S_X/n1 [('allocator_unit/arb_S_X/U15/Q', 'Output Pin(CLKINVX10)')]
\allocator_unit/arb_S_X/U28 :B1 Req_SN [('LBDR_S/Req_N_FF_reg/Q', 'Output Pin(DFCX4)')]
\allocator_unit/arb_S_X/U28 :B2 allocator_unit/arb_S_X/n14 [('allocator_unit/arb_S_X/U29/Q', 'Output Pin(AO21X6)')]
\allocator_unit/arb_S_X/U28 :Q allocator_unit/arb_S_X/n54 [('allocator_unit/arb_S_X/state_reg[2]/D', 'Input Pin(DFCX4)')]
\allocator_unit/arb_S_X/U29 :A1 allocator_unit/arb_S_X/n15 [('U384/Q', 'Output Pin(NOR2X6)')]
\allocator_unit/arb_S_X/U29 :A2 n28 [('LBDR_S/Req_L_FF_reg/QN', 'Output Pin(DFCX4)')]
\allocator_unit/arb_S_X/U29 :B1 allocator_unit/arb_S_X/n16 [('allocator_unit/arb_S_X/U39/Q', 'Output Pin(AO21X6)')]
\allocator_unit/arb_S_X/U29 :Q allocator_unit/arb_S_X/n14 [('allocator_unit/arb_S_X/U28/B2', 'Input Pin(AO22X6)')]
\allocator_unit/arb_S_X/U30 :A1 allocator_unit/arb_S_X/state[1] [('allocator_unit/arb_S_X/state_reg[1]/Q', 'Output Pin(DFCX4)')]
\allocator_unit/arb_S_X/U30 :A2 allocator_unit/arb_S_X/n17 [('allocator_unit/arb_S_X/U36/Q', 'Output Pin(AND2X6)')]
\allocator_unit/arb_S_X/U30 :B1 allocator_unit/X_S_L [('allocator_unit/arb_S_X/U35/Q', 'Output Pin(OA21X6)')]
\allocator_unit/arb_S_X/U30 :Q allocator_unit/arb_S_X/n53 [('allocator_unit/arb_S_X/state_reg[1]/D', 'Input Pin(DFCX4)')]
\allocator_unit/arb_S_X/U31 :A1 allocator_unit/arb_S_X/n20 [('allocator_unit/arb_S_X/U32/Q', 'Output Pin(AO21X6)')]
\allocator_unit/arb_S_X/U31 :A2 allocator_unit/arb_S_X/n21 [('U362/Q', 'Output Pin(NAND3X3)')]
\allocator_unit/arb_S_X/U31 :B1 Req_SE [('LBDR_S/Req_E_FF_reg/Q', 'Output Pin(DFCX4)')]
\allocator_unit/arb_S_X/U31 :Q allocator_unit/arb_S_X/n18 [('U422/A1', 'Input Pin(AOI21X6)')]
\allocator_unit/arb_S_X/U32 :A1 Req_SL [('LBDR_S/Req_L_FF_reg/Q', 'Output Pin(DFCX4)')]
\allocator_unit/arb_S_X/U32 :A2 allocator_unit/arb_S_X/n22 [('U123/Q', 'Output Pin(AND3X6)')]
\allocator_unit/arb_S_X/U32 :B1 Req_SN [('LBDR_S/Req_N_FF_reg/Q', 'Output Pin(DFCX4)')]
\allocator_unit/arb_S_X/U32 :Q allocator_unit/arb_S_X/n20 [('allocator_unit/arb_S_X/U31/A1', 'Input Pin(AO21X6)')]
\allocator_unit/arb_S_X/U34 :A allocator_unit/arb_S_X/n24 [('U126/Q', 'Output Pin(AO211X3)')]
\allocator_unit/arb_S_X/U34 :B n28 [('LBDR_S/Req_L_FF_reg/QN', 'Output Pin(DFCX4)')]
\allocator_unit/arb_S_X/U34 :Q allocator_unit/arb_S_X/n23 [('U12/A1', 'Input Pin(OAI21X6)')]
\allocator_unit/arb_S_X/U35 :A1 allocator_unit/arb_S_X/n24 [('U126/Q', 'Output Pin(AO211X3)')]
\allocator_unit/arb_S_X/U35 :A2 allocator_unit/arb_S_X/n17 [('allocator_unit/arb_S_X/U36/Q', 'Output Pin(AND2X6)')]
\allocator_unit/arb_S_X/U35 :B1 Req_SL [('LBDR_S/Req_L_FF_reg/Q', 'Output Pin(DFCX4)')]
\allocator_unit/arb_S_X/U35 :Q allocator_unit/X_S_L [('U306/A', 'Input Pin(NOR3X6)'), ('allocator_unit/arb_X_L/U20/A', 'Input Pin(CLKINVX10)'), ('allocator_unit/arb_S_X/U30/B1', 'Input Pin(AO21X6)')]
\allocator_unit/arb_S_X/U36 :A allocator_unit/arb_S_X/n15 [('U384/Q', 'Output Pin(NOR2X6)')]
\allocator_unit/arb_S_X/U36 :B n66 [('LBDR_S/Req_N_FF_reg/QN', 'Output Pin(DFCX4)')]
\allocator_unit/arb_S_X/U36 :Q allocator_unit/arb_S_X/n17 [('U323/A', 'Input Pin(NAND2X6)'), ('allocator_unit/arb_S_X/U30/A2', 'Input Pin(AO21X6)'), ('allocator_unit/arb_S_X/U35/A2', 'Input Pin(OA21X6)')]
\allocator_unit/arb_S_X/U37 :A1 allocator_unit/arb_S_X/n25 [('allocator_unit/arb_S_X/U38/Q', 'Output Pin(AND2X6)')]
\allocator_unit/arb_S_X/U37 :A2 allocator_unit/arb_S_X/n5 [('allocator_unit/arb_S_X/U19/Q', 'Output Pin(CLKINVX10)')]
\allocator_unit/arb_S_X/U37 :B1 Req_SE [('LBDR_S/Req_E_FF_reg/Q', 'Output Pin(DFCX4)')]
\allocator_unit/arb_S_X/U37 :Q allocator_unit/X_S_E [('U309/B', 'Input Pin(NOR2X6)'), ('allocator_unit/arb_X_E/U28/A', 'Input Pin(CLKINVX10)'), ('allocator_unit/arb_X_E/U33/B1', 'Input Pin(OA21X6)')]
\allocator_unit/arb_S_X/U38 :A n66 [('LBDR_S/Req_N_FF_reg/QN', 'Output Pin(DFCX4)')]
\allocator_unit/arb_S_X/U38 :B allocator_unit/arb_S_X/n16 [('allocator_unit/arb_S_X/U39/Q', 'Output Pin(AO21X6)')]
\allocator_unit/arb_S_X/U38 :Q allocator_unit/arb_S_X/n25 [('allocator_unit/arb_S_X/U37/A1', 'Input Pin(OA21X6)')]
\allocator_unit/arb_S_X/U39 :A1 allocator_unit/arb_S_X/n12 [('U383/Q', 'Output Pin(NOR2X6)')]
\allocator_unit/arb_S_X/U39 :A2 n28 [('LBDR_S/Req_L_FF_reg/QN', 'Output Pin(DFCX4)')]
\allocator_unit/arb_S_X/U39 :B1 allocator_unit/arb_S_X/n13 [('allocator_unit/arb_S_X/U40/Q', 'Output Pin(AO21X6)')]
\allocator_unit/arb_S_X/U39 :Q allocator_unit/arb_S_X/n16 [('allocator_unit/arb_S_X/U29/B1', 'Input Pin(AO21X6)'), ('allocator_unit/arb_S_X/U38/B', 'Input Pin(AND2X6)')]
\allocator_unit/arb_S_X/U40 :A1 allocator_unit/arb_S_X/n22 [('U123/Q', 'Output Pin(AND3X6)')]
\allocator_unit/arb_S_X/U40 :A2 n28 [('LBDR_S/Req_L_FF_reg/QN', 'Output Pin(DFCX4)')]
\allocator_unit/arb_S_X/U40 :B1 allocator_unit/arb_S_X/n6 [('allocator_unit/arb_S_X/U20/Q', 'Output Pin(CLKINVX10)')]
\allocator_unit/arb_S_X/U40 :Q allocator_unit/arb_S_X/n13 [('allocator_unit/arb_S_X/U27/B2', 'Input Pin(AO22X6)'), ('allocator_unit/arb_S_X/U39/B1', 'Input Pin(AO21X6)')]
\allocator_unit/arb_S_X/U41 :A n48 [('allocator_unit/arb_S_X/state_reg[0]/QN', 'Output Pin(DFPX4)')]
\allocator_unit/arb_S_X/U41 :B allocator_unit/arb_S_X/state[2] [('allocator_unit/arb_S_X/state_reg[2]/Q', 'Output Pin(DFCX4)')]
\allocator_unit/arb_S_X/U41 :Q allocator_unit/arb_S_X/n27 [('U375/A', 'Input Pin(NAND3X3)')]
\allocator_unit/arb_W_X/U16 :A allocator_unit/arb_W_X/n12 [('allocator_unit/arb_W_X/U32/Q', 'Output Pin(AND2X6)')]
\allocator_unit/arb_W_X/U16 :Q allocator_unit/arb_W_X/n1 [('allocator_unit/arb_W_X/U30/A2', 'Input Pin(OA21X6)')]
\allocator_unit/arb_W_X/U17 :A allocator_unit/arb_W_X/n17 [('allocator_unit/arb_W_X/U36/Q', 'Output Pin(OR2X6)')]
\allocator_unit/arb_W_X/U17 :Q allocator_unit/arb_W_X/n2 [('U705/A1', 'Input Pin(AO31X4)'), ('allocator_unit/arb_W_X/U32/B', 'Input Pin(AND2X6)')]
\allocator_unit/arb_W_X/U19 :A allocator_unit/arb_W_X/n14 [('allocator_unit/arb_W_X/U39/Q', 'Output Pin(AND2X6)')]
\allocator_unit/arb_W_X/U19 :Q allocator_unit/arb_W_X/n4 [('U716/A2', 'Input Pin(OAI21X6)'), ('U358/A', 'Input Pin(NOR2X6)'), ('allocator_unit/arb_W_X/U38/A2', 'Input Pin(AO21X6)')]
\allocator_unit/arb_W_X/U21 :A allocator_unit/arb_W_X/n21 [('U122/Q', 'Output Pin(AO31X4)')]
\allocator_unit/arb_W_X/U21 :Q allocator_unit/arb_W_X/n6 [('U716/B1', 'Input Pin(OAI21X6)'), ('U340/A2', 'Input Pin(OAI21X6)'), ('allocator_unit/arb_W_X/U38/A1', 'Input Pin(AO21X6)')]
\allocator_unit/arb_W_X/U23 :A allocator_unit/arb_W_X/n25 [('U366/Q', 'Output Pin(NAND3X3)')]
\allocator_unit/arb_W_X/U23 :Q allocator_unit/arb_W_X/n8 [('U122/B1', 'Input Pin(AO31X4)')]
\allocator_unit/arb_W_X/U27 :A allocator_unit/arb_W_X/n12 [('allocator_unit/arb_W_X/U32/Q', 'Output Pin(AND2X6)')]
\allocator_unit/arb_W_X/U27 :B allocator_unit/arb_W_X/state[0] [('allocator_unit/arb_W_X/state_reg[0]/Q', 'Output Pin(DFPX4)')]
\allocator_unit/arb_W_X/U27 :Q allocator_unit/arb_W_X/n66 [('allocator_unit/arb_W_X/state_reg[0]/D', 'Input Pin(DFPX4)')]
\allocator_unit/arb_W_X/U28 :A1 allocator_unit/arb_W_X/state_5 [('allocator_unit/arb_W_X/state_reg[5]/Q', 'Output Pin(DFCX4)')]
\allocator_unit/arb_W_X/U28 :A2 allocator_unit/arb_W_X/n12 [('allocator_unit/arb_W_X/U32/Q', 'Output Pin(AND2X6)')]
\allocator_unit/arb_W_X/U28 :B1 allocator_unit/X_W_S [('allocator_unit/arb_W_X/U33/Q', 'Output Pin(AND2X6)')]
\allocator_unit/arb_W_X/U28 :Q allocator_unit/arb_W_X/n65 [('allocator_unit/arb_W_X/state_reg[5]/D', 'Input Pin(DFCX4)')]
\allocator_unit/arb_W_X/U29 :A1 allocator_unit/arb_W_X/state[3] [('allocator_unit/arb_W_X/state_reg[3]/Q', 'Output Pin(DFCX4)')]
\allocator_unit/arb_W_X/U29 :A2 allocator_unit/arb_W_X/n12 [('allocator_unit/arb_W_X/U32/Q', 'Output Pin(AND2X6)')]
\allocator_unit/arb_W_X/U29 :B1 allocator_unit/X_W_E [('U329/Q', 'Output Pin(AOI21X6)')]
\allocator_unit/arb_W_X/U29 :Q allocator_unit/arb_W_X/n63 [('allocator_unit/arb_W_X/state_reg[3]/D', 'Input Pin(DFCX4)')]
\allocator_unit/arb_W_X/U30 :A1 allocator_unit/arb_W_X/state[2] [('allocator_unit/arb_W_X/state_reg[2]/Q', 'Output Pin(DFCX4)')]
\allocator_unit/arb_W_X/U30 :A2 allocator_unit/arb_W_X/n1 [('allocator_unit/arb_W_X/U16/Q', 'Output Pin(CLKINVX10)')]
\allocator_unit/arb_W_X/U30 :B1 allocator_unit/arb_W_X/n13 [('allocator_unit/arb_W_X/U31/Q', 'Output Pin(AO22X6)')]
\allocator_unit/arb_W_X/U30 :Q allocator_unit/arb_W_X/n62 [('allocator_unit/arb_W_X/state_reg[2]/D', 'Input Pin(DFCX4)')]
\allocator_unit/arb_W_X/U31 :A1 allocator_unit/arb_W_X/n14 [('allocator_unit/arb_W_X/U39/Q', 'Output Pin(AND2X6)')]
\allocator_unit/arb_W_X/U31 :A2 n75 [('LBDR_W/Req_E_FF_reg/QN', 'Output Pin(DFCX4)')]
\allocator_unit/arb_W_X/U31 :B1 Req_WN [('LBDR_W/Req_N_FF_reg/Q', 'Output Pin(DFCX4)')]
\allocator_unit/arb_W_X/U31 :B2 allocator_unit/arb_W_X/n15 [('U716/Q', 'Output Pin(OAI21X6)')]
\allocator_unit/arb_W_X/U31 :Q allocator_unit/arb_W_X/n13 [('allocator_unit/arb_W_X/U30/B1', 'Input Pin(OA21X6)')]
\allocator_unit/arb_W_X/U32 :A allocator_unit/arb_W_X/n14 [('allocator_unit/arb_W_X/U39/Q', 'Output Pin(AND2X6)')]
\allocator_unit/arb_W_X/U32 :B allocator_unit/arb_W_X/n2 [('allocator_unit/arb_W_X/U17/Q', 'Output Pin(CLKINVX10)')]
\allocator_unit/arb_W_X/U32 :Q allocator_unit/arb_W_X/n12 [('allocator_unit/arb_W_X/U16/A', 'Input Pin(CLKINVX10)'), ('allocator_unit/arb_W_X/U27/A', 'Input Pin(AND2X6)'), ('allocator_unit/arb_W_X/U28/A2', 'Input Pin(AO21X6)'), ('allocator_unit/arb_W_X/U29/A2', 'Input Pin(AO21X6)')]
\allocator_unit/arb_W_X/U33 :A Req_WS [('LBDR_W/Req_S_FF_reg/Q', 'Output Pin(DFCX4)')]
\allocator_unit/arb_W_X/U33 :B allocator_unit/arb_W_X/n18 [('U340/Q', 'Output Pin(OAI21X6)')]
\allocator_unit/arb_W_X/U33 :Q allocator_unit/X_W_S [('U321/B1', 'Input Pin(AOI21X6)'), ('allocator_unit/arb_X_S/U22/A', 'Input Pin(CLKINVX10)'), ('allocator_unit/arb_X_S/U36/B', 'Input Pin(OR2X6)'), ('allocator_unit/arb_W_X/U28/B1', 'Input Pin(AO21X6)')]
\allocator_unit/arb_W_X/U34 :A1 allocator_unit/arb_W_X/n20 [('U358/Q', 'Output Pin(NOR2X6)')]
\allocator_unit/arb_W_X/U34 :A2 allocator_unit/arb_W_X/n21 [('U122/Q', 'Output Pin(AO31X4)')]
\allocator_unit/arb_W_X/U34 :B1 Req_WN [('LBDR_W/Req_N_FF_reg/Q', 'Output Pin(DFCX4)')]
\allocator_unit/arb_W_X/U34 :Q allocator_unit/X_W_N [('U290/A2', 'Input Pin(OAI21X6)'), ('allocator_unit/arb_X_N/U20/A', 'Input Pin(CLKINVX10)'), ('allocator_unit/arb_X_N/U28/B1', 'Input Pin(OA21X6)')]
\allocator_unit/arb_W_X/U35 :A1 allocator_unit/arb_W_X/n19 [('allocator_unit/arb_W_X/U37/Q', 'Output Pin(OA21X6)')]
\allocator_unit/arb_W_X/U35 :A2 allocator_unit/arb_W_X/n17 [('allocator_unit/arb_W_X/U36/Q', 'Output Pin(OR2X6)')]
\allocator_unit/arb_W_X/U35 :B1 Req_WS [('LBDR_W/Req_S_FF_reg/Q', 'Output Pin(DFCX4)')]
\allocator_unit/arb_W_X/U35 :Q allocator_unit/arb_W_X/n22 [('U326/A1', 'Input Pin(AOI21X6)')]
\allocator_unit/arb_W_X/U36 :A Req_WE [('LBDR_W/Req_E_FF_reg/Q', 'Output Pin(DFCX4)')]
\allocator_unit/arb_W_X/U36 :B Req_WN [('LBDR_W/Req_N_FF_reg/Q', 'Output Pin(DFCX4)')]
\allocator_unit/arb_W_X/U36 :Q allocator_unit/arb_W_X/n17 [('U340/A1', 'Input Pin(OAI21X6)'), ('allocator_unit/arb_W_X/U17/A', 'Input Pin(CLKINVX10)'), ('allocator_unit/arb_W_X/U35/A2', 'Input Pin(AO21X6)')]
\allocator_unit/arb_W_X/U37 :A1 allocator_unit/arb_W_X/n24 [('U345/Q', 'Output Pin(NAND3X3)')]
\allocator_unit/arb_W_X/U37 :A2 Req_WE [('LBDR_W/Req_E_FF_reg/Q', 'Output Pin(DFCX4)')]
\allocator_unit/arb_W_X/U37 :B1 allocator_unit/arb_W_X/n16 [('U355/Q', 'Output Pin(NAND3X3)')]
\allocator_unit/arb_W_X/U37 :Q allocator_unit/arb_W_X/n19 [('U358/B', 'Input Pin(NOR2X6)'), ('U340/B1', 'Input Pin(OAI21X6)'), ('allocator_unit/arb_W_X/U35/A1', 'Input Pin(AO21X6)')]
\allocator_unit/arb_W_X/U38 :A1 allocator_unit/arb_W_X/n6 [('allocator_unit/arb_W_X/U21/Q', 'Output Pin(CLKINVX10)')]
\allocator_unit/arb_W_X/U38 :A2 allocator_unit/arb_W_X/n4 [('allocator_unit/arb_W_X/U19/Q', 'Output Pin(CLKINVX10)')]
\allocator_unit/arb_W_X/U38 :B1 Req_WN [('LBDR_W/Req_N_FF_reg/Q', 'Output Pin(DFCX4)')]
\allocator_unit/arb_W_X/U38 :Q allocator_unit/arb_W_X/n26 [('U329/A2', 'Input Pin(AOI21X6)')]
\allocator_unit/arb_W_X/U39 :A n46 [('LBDR_W/Req_L_FF_reg/QN', 'Output Pin(DFCX4)')]
\allocator_unit/arb_W_X/U39 :B n22 [('LBDR_W/Req_S_FF_reg/QN', 'Output Pin(DFCX4)')]
\allocator_unit/arb_W_X/U39 :Q allocator_unit/arb_W_X/n14 [('allocator_unit/arb_W_X/U19/A', 'Input Pin(CLKINVX10)'), ('allocator_unit/arb_W_X/U31/A1', 'Input Pin(AO22X6)'), ('allocator_unit/arb_W_X/U32/A', 'Input Pin(AND2X6)')]
\allocator_unit/arb_W_X/U40 :A allocator_unit/arb_W_X/state[0] [('allocator_unit/arb_W_X/state_reg[0]/Q', 'Output Pin(DFPX4)')]
\allocator_unit/arb_W_X/U40 :B allocator_unit/arb_W_X/state[2] [('allocator_unit/arb_W_X/state_reg[2]/Q', 'Output Pin(DFCX4)')]
\allocator_unit/arb_W_X/U40 :Q allocator_unit/arb_W_X/n27 [('U366/A', 'Input Pin(NAND3X3)')]
\allocator_unit/arb_X_E/U26 :A allocator_unit/X_N_E [('allocator_unit/arb_N_X/U42/Q', 'Output Pin(OA21X6)')]
\allocator_unit/arb_X_E/U26 :Q allocator_unit/arb_X_E/n1 [('U88/C', 'Input Pin(NOR3X6)'), ('U55/B', 'Input Pin(NOR2X6)'), ('allocator_unit/arb_X_E/U36/B1', 'Input Pin(OA21X6)')]
\allocator_unit/arb_X_E/U27 :A allocator_unit/X_W_E [('U329/Q', 'Output Pin(AOI21X6)')]
\allocator_unit/arb_X_E/U27 :Q allocator_unit/arb_X_E/n2 [('U99/A', 'Input Pin(NOR3X6)'), ('allocator_unit/arb_X_E/U37/A2', 'Input Pin(AO21X6)')]
\allocator_unit/arb_X_E/U28 :A allocator_unit/X_S_E [('allocator_unit/arb_S_X/U37/Q', 'Output Pin(OA21X6)')]
\allocator_unit/arb_X_E/U28 :Q allocator_unit/arb_X_E/n3 [('U318/B1', 'Input Pin(OAI211X3)'), ('U94/C', 'Input Pin(NOR3X6)')]
\allocator_unit/arb_X_E/U29 :A allocator_unit/arb_X_E/n19 [('U652/Q', 'Output Pin(NAND3X3)')]
\allocator_unit/arb_X_E/U29 :Q allocator_unit/arb_X_E/n4 [('U287/A1', 'Input Pin(OAI31X6)'), ('U110/B', 'Input Pin(NOR2X6)'), ('allocator_unit/arb_X_E/U35/A2', 'Input Pin(OA21X6)'), ('allocator_unit/arb_X_E/U37/A1', 'Input Pin(AO21X6)')]
\allocator_unit/arb_X_E/U30 :A allocator_unit/arb_X_E/n20 [('U665/Q', 'Output Pin(NAND3X3)')]
\allocator_unit/arb_X_E/U30 :Q allocator_unit/arb_X_E/n5 [('U287/A3', 'Input Pin(OAI31X6)'), ('U110/A', 'Input Pin(NOR2X6)'), ('allocator_unit/arb_X_E/U37/B1', 'Input Pin(AO21X6)')]
\allocator_unit/arb_X_E/U32 :A allocator_unit/arb_X_E/n21 [('U667/Q', 'Output Pin(NAND3X3)')]
\allocator_unit/arb_X_E/U32 :Q allocator_unit/arb_X_E/n7 [('U587/B1', 'Input Pin(AOI31X6)')]
\allocator_unit/arb_X_E/U33 :A1 allocator_unit/arb_X_E/n8 [('allocator_unit/arb_X_E/U34/Q', 'Output Pin(AND2X6)')]
\allocator_unit/arb_X_E/U33 :A2 allocator_unit/arb_X_E/n9 [('allocator_unit/arb_X_E/U37/Q', 'Output Pin(AO21X6)')]
\allocator_unit/arb_X_E/U33 :B1 allocator_unit/X_S_E [('allocator_unit/arb_S_X/U37/Q', 'Output Pin(OA21X6)')]
\allocator_unit/arb_X_E/U33 :Q allocator_unit/arb_X_E/state_in_5 [('allocator_unit/arb_X_E/state_reg[5]/D', 'Input Pin(DFCX4)')]
\allocator_unit/arb_X_E/U34 :A allocator_unit/arb_X_E/n10 [('U287/Q', 'Output Pin(OAI31X6)')]
\allocator_unit/arb_X_E/U34 :B allocator_unit/arb_X_E/n11 [('U310/Q', 'Output Pin(NOR2X6)')]
\allocator_unit/arb_X_E/U34 :Q allocator_unit/arb_X_E/n8 [('allocator_unit/arb_X_E/U33/A1', 'Input Pin(OA21X6)')]
\allocator_unit/arb_X_E/U35 :A1 allocator_unit/arb_X_E/n12 [('allocator_unit/arb_X_E/U36/Q', 'Output Pin(OA21X6)')]
\allocator_unit/arb_X_E/U35 :A2 allocator_unit/arb_X_E/n4 [('allocator_unit/arb_X_E/U29/Q', 'Output Pin(CLKINVX10)')]
\allocator_unit/arb_X_E/U35 :B1 allocator_unit/X_W_E [('U329/Q', 'Output Pin(AOI21X6)')]
\allocator_unit/arb_X_E/U35 :Q allocator_unit/arb_X_E/state_in_4 [('allocator_unit/arb_X_E/state_reg[4]/D', 'Input Pin(DFCX4)')]
\allocator_unit/arb_X_E/U36 :A1 allocator_unit/arb_X_E/n13 [('U309/Q', 'Output Pin(NOR2X6)')]
\allocator_unit/arb_X_E/U36 :A2 allocator_unit/arb_X_E/n10 [('U287/Q', 'Output Pin(OAI31X6)')]
\allocator_unit/arb_X_E/U36 :B1 allocator_unit/arb_X_E/n1 [('allocator_unit/arb_X_E/U26/Q', 'Output Pin(CLKINVX10)')]
\allocator_unit/arb_X_E/U36 :Q allocator_unit/arb_X_E/n12 [('allocator_unit/arb_X_E/U35/A1', 'Input Pin(OA21X6)')]
\allocator_unit/arb_X_E/U37 :A1 allocator_unit/arb_X_E/n4 [('allocator_unit/arb_X_E/U29/Q', 'Output Pin(CLKINVX10)')]
\allocator_unit/arb_X_E/U37 :A2 allocator_unit/arb_X_E/n2 [('allocator_unit/arb_X_E/U27/Q', 'Output Pin(CLKINVX10)')]
\allocator_unit/arb_X_E/U37 :B1 allocator_unit/arb_X_E/n5 [('allocator_unit/arb_X_E/U30/Q', 'Output Pin(CLKINVX10)')]
\allocator_unit/arb_X_E/U37 :Q allocator_unit/arb_X_E/n9 [('U318/A2', 'Input Pin(OAI211X3)'), ('U56/A1', 'Input Pin(AOI21X6)'), ('allocator_unit/arb_X_E/U33/A2', 'Input Pin(OA21X6)')]
\allocator_unit/arb_X_E/U38 :A allocator_unit/arb_X_E/n11 [('U310/Q', 'Output Pin(NOR2X6)')]
\allocator_unit/arb_X_E/U38 :B allocator_unit/arb_X_E/n13 [('U309/Q', 'Output Pin(NOR2X6)')]
\allocator_unit/arb_X_E/U38 :Q allocator_unit/arb_X_E/state_in[0] [('allocator_unit/arb_X_E/state_reg[0]/D', 'Input Pin(DFPX4)')]
\allocator_unit/arb_X_E/state_reg[0] :D allocator_unit/arb_X_E/state_in[0] [('allocator_unit/arb_X_E/U38/Q', 'Output Pin(AND2X6)')]
